,Store,Address,City,State
,Midway Distributing,c/o Bob Peterson,Glen Ellen,California
,Anderson Valley Mkt.,14175 CA-128,Boonville,California
,CVS #345 - Cloverdale,1111 S. Cloverdale Blvd,Cloverdale,California
,CVS #3932 - Ft. Bragg,150 S. Main St,Fort Bragg,California
,CVS #9822 - Ukiah,155 S Orchard Ave.,Ukiah,California
,Food Maxx-Ukiah,1235 Airport Parkway,Ukiah,California
,Harvest Market-Ft. Bragg,171 Boatyard Shopping Center,Fort Bragg,California
,Harvest Mkt./Mendosa's,171 Boatyard Drive,Fort Bragg,California
,Lucky - Ukiah,504 E Perkins,Ukiah,California
,Mariposa Market,500 S. Main St.,Willits,California
,Purity Store,242 Franklin St.,Fort Bragg,California
,Raley's-Ukiah,1315 N. State St,Ukiah,California
,Ray's Food Place-Cloverdale,1139 S. Cloverdale Blvd,Cloverdale,California
,Riviera Market,9730 Soda Bay Rd,Kelseyville,California
,Safeway #1583-Ukiah,653 So.State St.,Ukiah,California
,Safeway #965-Willits,845 South Main St.,Willits,California
,Safeway #965-Willits,845 South Main St.,Willits,California
,Safeway #978-Ft.Bragg,660 S. Main St.,Fort Bragg,California
,Safeway #978-Ft.Bragg,660 S. Main St.,Fort Bragg,California
,Safeway #984-Clearlake,14922 Olympic Drive,Clearlake,California
,Walmart- Ukiah,1155 Airport Park Blvd,Ukiah,California
,CVS #1173 - Healdsburg,455 Center St,Healdsburg,California
,CVS #9393 - Mendocino Ave.,2075 Mendocino Ave.,Santa Rosa,California
,CVS #9931 - Windsor,9030 Brooks Rd. S,Windsor,California
,Longs Drug-Healdsburg,455 Center St,Healdsburg,California
,Lucky - Bicentennial,150 Bicentennial,Santa Rosa,California
,Lucky - Bicentennial,150 Bicentennial,Santa Rosa,California
,Raley's-Windsor,8852 Lakewood Dr.,Windsor,California
,Safeway #1434-Windsor,9080 Brooks Rd.,Windsor,California
,Safeway #1434-Windsor,9080 Brooks Rd.,Windsor,California
,Safeway #1576-Mendocino  Ave.,2300 Mendocino Ave.,Santa Rosa,California
,Safeway #1576-Mendocino  Ave.,2300 Mendocino Ave.,Santa Rosa,California
,Safeway #998-Healdsburg,1115 Vine St.,Healdsburg,California
,Safeway #998-Healdsburg,1115 Vine St.,Healdsburg,California
,Walmart- Windsor,,Windsor,California
