Store,Address,City,State,Full Address,lat,lon
"CVS #9316 - Grant Ave, Nov.",1707 Grant Ave.,Novato,California,"1707 Grant Ave., Novato, California",38.1079921,-122.5790739
CVS #9370 - San Anselmo,880 Sir Francis Drake Blvd.,San Anselmo,California,"880 Sir Francis Drake Blvd., San Anselmo, California",37.9811828,-122.5651131
CVS #9529 - Terra Linda,442 Las Gallinas Ave.,San Rafael,California,"442 Las Gallinas Ave., San Rafael, California",38.0048472,-122.540898
CVS #9913 - Mill Valley,759 E. Blithedale,Mill Valley,California,"759 E. Blithedale, Mill Valley, California",37.9031729,-122.5246336
CVS #9947 - Novato Blvd.,2035 Novato Blvd.,Novato,California,"2035 Novato Blvd., Novato, California",38.1108745,-122.5926796
CVS #9962 - Marin City,150 Donahue Street,Marin City,California,"150 Donahue Street, Marin City, California",37.8726928,-122.5114397
Dan's Liquor - Mill Valley,242 Shoreline Hwy,Mill Valley,California,"242 Shoreline Hwy, Mill Valley, California",37.8814359,-122.5242512
Driver's Mkt - Sausalito,200 Caledonia St.,Sausalito,California,"200 Caledonia St., Sausalito, California",37.859356,-122.4862508
Fairfax Market,2040 Sir Francis Drake Blvd,Fairfax,California,"2040 Sir Francis Drake Blvd, Fairfax, California",37.98851769,-122.5906686
Famous Deli  San Rafael,1492 Lincoln Ave,San Rafael,California,"1492 Lincoln Ave, San Rafael, California",37.9809365,-122.5225541
Fast & Easy - San Rafael,1500 E 5th St,Benicia,California,"1500 E 5th St, Benicia, California",38.0538042,-122.1450438
G Liquor & Grocery,1910 Sir Francis Drake Blvd,Fairfax,California,"1910 Sir Francis Drake Blvd, Fairfax, California",37.9874736,-122.588417
Golden Gate Market,221 Second St,Sausalito,California,"221 Second St, Sausalito, California",37.8496917,-122.4809105
Good Earth Natural Foods,720 Center Blvd.,Fairfax,California,"720 Center Blvd., Fairfax, California",37.9862744,-122.5831381
Good Earth Natural Foods-Tam,201 Flamingo Road,Mill Valley,California,"201 Flamingo Road, Mill Valley, California",37.8809998,-122.5257694
Harvest Mkt/Novato Foods,155 San Marin Dr,Novato,California,"155 San Marin Dr, Novato, California",38.12269168,-122.6031356
Ignacio Gas/76 Stn,375 Ignacio Blvd.,Novato,California,"375 Ignacio Blvd., Novato, California",38.0657433,-122.5401467
Inverness Park Market,12301 Sir Francis Drake Blvd,Inverness,California,"12301 Sir Francis Drake Blvd, Inverness, California",38.0693522,-122.8248894
Inverness Store,12784 Sir Francis Drake Blvd,Inverness,California,"12784 Sir Francis Drake Blvd, Inverness, California",38.0968722,-122.8515355
Italian Delite,971 Front Street,Novato,California,"971 Front Street, Novato, California",38.1065807,-122.5712764
Jessie Laurant Culinary,1945 Francisco Blvd.,San Rafael,California,"1945 Francisco Blvd., San Rafael, California",37.9468591,-122.4891238
