Store,Address,City,State,Full Address,lat,lon
Fulton & Brodrick,667 Broderick St.,San Francisco,California,"667 Broderick St., San Francisco, California",37.7765,-122.4401015
Fulton Foods,1801 Fulton St.,San Francisco,California,"1801 Fulton St., San Francisco, California",37.7756425,-122.4467344
Georges Market,702 14th St,San Francisco,California,"702 14th St, San Francisco, California",37.7678979,-122.4292724
Golden Bear Market,1401 6th Ave,San Francisco,California,"1401 6th Ave, San Francisco, California",37.7622021,-122.4631253
Grove Street Mkt.,500 Grove Street,San Francisco,California,"500 Grove Street, San Francisco, California",37.77769769,-122.4250613
Haight & Central,1301 Haight St.,San Francisco,California,"1301 Haight St., San Francisco, California",37.7702788,-122.443915
Haight & Filmore Foods,501 Haight St.,San Francisco,California,"501 Haight St., San Francisco, California",37.7718245,-122.4319695
Haight Street Market,1530  Haight Street,San Francisco,California,"1530  Haight Street, San Francisco, California",37.7702281,-122.4475864
Harvest Hills Market,3216 Folsom St.,San Francisco,California,"3216 Folsom St., San Francisco, California",37.7467317,-122.4138313
Harvest Urban Mkt - Market St.,2285 Market St.,San Francisco,California,"2285 Market St., San Francisco, California",37.764496,-122.4322796
Harvest Urban Mkt-8th St.,191 - 8th St.,San Francisco,California,"191 - 8th St., San Francisco, California",37.7765869,-122.4117295
Hayes Market,698 Hayes Street,San Francisco,California,"698 Hayes Street, San Francisco, California",37.7764245,-122.4278124
Jump Start Market,1192 Guerrero Street,San Francisco,California,"1192 Guerrero Street, San Francisco, California",37.7521471,-122.4231975
KD's Grog & Grocery,2416 Market Street,San Francisco,California,"2416 Market Street, San Francisco, California",37.7627504,-122.4356688
Key Food Mart,501 Filmore St.,San Francisco,California,"501 Filmore St., San Francisco, California",37.774251,-122.431075
KT Liquors,1900 Hayes St.,San Francisco,California,"1900 Hayes St., San Francisco, California",37.773841,-122.4479402
Liquid Experience,1589 Haight St.,San Francisco,California,"1589 Haight St., San Francisco, California",37.769662,-122.4481946
M & K Market,1701 Anza St,San Francisco,California,"1701 Anza St, San Francisco, California",37.7787908,-122.4664278
Madera Liquor,4401 Geary Blvd.,San Francisco,California,"4401 Geary Blvd., San Francisco, California",37.7807381,-122.4665715
Marina Meats,2395 Chestnut St.,San Francisco,California,"2395 Chestnut St., San Francisco, California",37.7999117,-122.4426784
Marina Super,2323 Chestnut St.,San Francisco,California,"2323 Chestnut St., San Francisco, California",37.7999237,-122.4416772
Martell's,5615 Geary Blvd.,San Francisco,California,"5615 Geary Blvd., San Francisco, California",37.7800098,-122.4797387
Mollie Stone - 18th & Castro,4201 - 18th Street,San Francisco,California,"4201 - 18th Street, San Francisco, California",37.7606086,-122.4363285
Mollie Stone #8-Tower Mkt.,635 Portola St.,San Francisco,California,"635 Portola St., San Francisco, California",37.7447894,-122.4523297
"Mollie Stone-Calif St, SF",2435 California St,San Francisco,California,"2435 California St, San Francisco, California",37.7885472,-122.434559
New California Food Market,5701 California St,San Francisco,California,"5701 California St, San Francisco, California",37.7840401,-122.4788543
New Upper Terrace Market,4499 17th St,San Francisco,California,"4499 17th St, San Francisco, California",37.7617669,-122.4452082
Nick's Super,144 Page Street,San Francisco,California,"144 Page Street, San Francisco, California",37.7742409,-122.4232334
Ninth & Judah Liquors,1400 9th Ave,San Francisco,California,"1400 9th Ave, San Francisco, California",37.7620731,-122.4660394
Noe Valley Market,200 Noe Street,San Francisco,California,"200 Noe Street, San Francisco, California",37.7657253,-122.4334309
Nopa Liquor & Deli,1601 Fulton St.,San Francisco,California,"1601 Fulton St., San Francisco, California",37.7759914,-122.4432515
Oak & Scott (Oak Fair Mkt),999 Oak Street,San Francisco,California,"999 Oak Street, San Francisco, California",37.7732128,-122.4355706
Oceanview Market,7501 Geary Blvd,San Francisco,California,"7501 Geary Blvd, San Francisco, California",37.7791501,-122.4999007
O'Looney's,588 Haight Street,San Francisco,California,"588 Haight Street, San Francisco, California",37.7721202,-122.4318825
Pacific Gateway Concessions,273 E. Harris Ave.,South San Francisco,California,"273 E. Harris Ave., South San Francisco, California",37.6510178,-122.3963609
Park Presidio Liquors,4400 California St,San Francisco,California,"4400 California St, San Francisco, California",37.78523,-122.4647562
Parkview,501 Frederick St,San Francisco,California,"501 Frederick St, San Francisco, California",37.7668155,-122.4483465
Rainbow Grocery,1745 Folsom St.,San Francisco,California,"1745 Folsom St., San Francisco, California",37.7691136,-122.4153147
Richmond Market,41st & Balboa,San Francisco,California,"41st & Balboa, San Francisco, California",37.7755279,-122.5016179
Rosenberg's,276 Noe Street,San Francisco,California,"276 Noe Street, San Francisco, California",37.7646454,-122.4333603
Roxie Market & Deli,500 Kirkham Street,San Francisco,California,"500 Kirkham Street, San Francisco, California",37.7604947,-122.4663836
S&A Market,98-1/2 Sanchez St.,San Francisco,California,"98-1/2 Sanchez St., San Francisco, California",37.767715,-122.4314401
"Safeway #1507-Market St., S.F.",2020 Market St.,San Francisco,California,"2020 Market St., San Francisco, California",37.7688487,-122.4279242
"Safeway #2452 -Irving St, SF",1200 Irving St.,San Francisco,California,"1200 Irving St., San Francisco, California",37.7641482,-122.4711457
"Safeway #785-LaPlaya, S.F.",850 La Playa,San Francisco,California,"850 La Playa, San Francisco, California",37.7725837,-122.5094277
"Safeway#2646-7th Ave., S.F.",735 - 7th Ave.,San Francisco,California,"735 - 7th Ave., San Francisco, California",37.7745526,-122.4653886
Save More Meats,74 W. Manor Drive,Pacifica,California,"74 W. Manor Drive, Pacifica, California",37.6491957,-122.4918761
"Seven Eleven-Geary St., S.F.",5100 Geary Blvd.,San Francisco,California,"5100 Geary Blvd., San Francisco, California",37.78088,-122.47417
Smart & Final - S.F.,Seventh & Clement,San Francisco,California,"Seventh & Clement, San Francisco, California",37.7829042,-122.4655036
Stand-Bi Market,1400 8th St,San Francisco,California,"1400 8th St, San Francisco, California",37.7662914,-122.3994047
Star Ell Market,501 Divisadero Street,San Francisco,California,"501 Divisadero Street, San Francisco, California",37.7741612,-122.4379707
State Market,4751 Geary Blvd.,San Francisco,California,"4751 Geary Blvd., San Francisco, California",37.78050846,-122.4705694
Sunset Super #3 - Vicente St.,2801 Vicente Street,San Francisco,California,"2801 Vicente Street, San Francisco, California",37.7380921,-122.4973774
Sunshine - Haight St.,1754 Haight St.,San Francisco,California,"1754 Haight St., San Francisco, California",37.7696934,-122.4512576
Superette Market,901 Haight St,San Francisco,California,"901 Haight St, San Francisco, California",37.7710452,-122.4371911
Tiger's Liquor,2400 Clement St,San Francisco,California,"2400 Clement St, San Francisco, California",37.7821357,-122.485051
Tim's,667 Fillmore St.,San Francisco,California,"667 Fillmore St., San Francisco, California",37.7756807,-122.4314401
Veteran's Canteen #662,4140 Clement,San Francisco,California,"4140 Clement, San Francisco, California",37.7813115,-122.5016509
Victoria Liquor,201 Gough Street,San Francisco,California,"201 Gough Street, San Francisco, California",37.7751864,-122.4230172
Walgreens  Gough,300 Gough Street,San Francisco,California,"300 Gough Street, San Francisco, California",37.7761256,-122.4226848
Walgreen's-Clement St.,719 Clement Street,San Francisco,California,"719 Clement Street, San Francisco, California",37.7826186,-122.467047
Walgreen's-Geary St.,5280 Geary Blvd,San Francisco,California,"5280 Geary Blvd, San Francisco, California",37.7806818,-122.4759741
Walgreen's-Point Lobos,25 Point Lobo Ave.,San Francisco,California,"25 Point Lobo Ave., San Francisco, California",37.7794398,-122.5037248
Albertsons-Rohnert Park,6335 Commerce Blvd,Rohnert Park,California,"6335 Commerce Blvd, Rohnert Park, California",38.3473192,-122.7097935
Andy's Produce - Sebastopol,1691 Gravenstein Hwy.,Sebastopol,California,"1691 Gravenstein Hwy., Sebastopol, California",38.3822174,-122.8074137
Armstrong Paper Group,2329 Circadian Way,Santa Rosa,California,"2329 Circadian Way, Santa Rosa, California",38.4215267,-122.7551604
Bartletts Market,9890 Main St.,Monte Rio,California,"9890 Main St., Monte Rio, California",38.4648569,-123.0103671
Berry's (Dave's),5290 Aero Dr.,Santa Rosa,California,"5290 Aero Dr., Santa Rosa, California",38.5108248,-122.7646378
Big John's Market,1345 Healdsburg Ave.,Healdsburg,California,"1345 Healdsburg Ave., Healdsburg, California",38.6266885,-122.8737522
Bills Farm Basket,10315 Bodega Hwy,Sebastopol,California,"10315 Bodega Hwy, Sebastopol, California",38.3920577,-122.8784434
Bodega Ave. Mkt.,1105 Bodega Ave.,Petaluma,California,"1105 Bodega Ave., Petaluma, California",38.2341501,-122.6614753
Bodega Country Store,17190 Bodega Hwy,Bodega,California,"17190 Bodega Hwy, Bodega, California",38.3457762,-122.9740031
Bohemian Club-Monte Rio,624 Taylor St.,San Francisco,California,"624 Taylor St., San Francisco, California",37.7882547,-122.4115525
Broadway Mkt.,20511 Broadway,Sonoma,California,"20511 Broadway, Sonoma, California",38.2754275,-122.4608333
CVS #9152 - Sonoma,201 W Napa St Ste 35,Sonoma,California,"201 W Napa St Ste 35, Sonoma, California",38.2899739,-122.4622572
"CVS #9163 - McDowell, Pet.",291 North McDowell Blvd.,Petaluma,California,"291 North McDowell Blvd., Petaluma, California",38.2511338,-122.6313662
"CVS #9480 - E. Wash., Pet.",365 East Washington St.,Petaluma,California,"365 East Washington St., Petaluma, California",38.2386131,-122.6379009
"CVS #9656 - 4th St.,S.Rosa",2771 - 4th Street,Santa Rosa,California,"2771 - 4th Street, Santa Rosa, California",38.4506762,-122.6898328
CVS #9872 - Sebastopol,788 Gravenstein Hwy.,Sebastopol,California,"788 Gravenstein Hwy., Sebastopol, California",38.3944873,-122.8193565
CVS #9928 - Rohnert Park,6378 Commerce Blvd.,Rohnert Park,California,"6378 Commerce Blvd., Rohnert Park, California",38.3463399,-122.708343
CVS #9946 - Stony Point,463 Stony Point Rd.,Santa Rosa,California,"463 Stony Point Rd., Santa Rosa, California",38.4331391,-122.7439869
CVS #9948 - Yulupa Ave.,2700 Yulupa Ave.,Santa Rosa,California,"2700 Yulupa Ave., Santa Rosa, California",38.4281811,-122.6674342
Dave's Market,320 W. 3rd St.,Santa Rosa,California,"320 W. 3rd St., Santa Rosa, California",38.4371094,-122.718911
Ernie's Tin Bar,5100 Lakeville Hwy.,Petaluma,California,"5100 Lakeville Hwy., Petaluma, California",38.2123369,-122.5492502
Fast & Easy - Forestville,6484 Mirabel Rd.,Forestville,California,"6484 Mirabel Rd., Forestville, California",38.474125,-122.896171
Fircrest Market,998 Gravenstein Hwy. South,Sebastopol,California,"998 Gravenstein Hwy. South, Sebastopol, California",38.3907093,-122.8172324
Food Maxx-Rohnert Park,605 Rohnert Park Expressway,Rohnert Park,California,"605 Rohnert Park Expressway, Rohnert Park, California",38.3482816,-122.7250257
Food Maxx-Santa Rosa,2055 Sebastopol Rd,Santa Rosa,California,"2055 Sebastopol Rd, Santa Rosa, California",38.4269128,-122.742122
Fruit Basket #2,24101 Arnold Dr.,Sonoma,California,"24101 Arnold Dr., Sonoma, California",38.2215856,-122.4565874
Glen Ellen #12 (Willows),13751 Arnold Dr.,Glen Ellen,California,"13751 Arnold Dr., Glen Ellen, California",38.3621439,-122.5255805
Glen Ellen Village Mkt.,13751 Arnold Dr,Glen Ellen,California,"13751 Arnold Dr, Glen Ellen, California",38.3621439,-122.5255805
Glen Ellen Village/Nugget #18,13751 Arnold Dr.,Glen Ellen,California,"13751 Arnold Dr., Glen Ellen, California",38.3621439,-122.5255805
Gonnella's Country Mart,3707 Occidental Rd.,Occidental,California,"3707 Occidental Rd., Occidental, California",38.4077264,-122.9473731
Jacks Valley Store,7450 Highway 128,Philo,California,"7450 Highway 128, Philo, California",39.0745632,-123.4591762
"Longs Drugs #480-E. Wash.,Pet.",365 East Washington St.,Petaluma,California,"365 East Washington St., Petaluma, California",38.2386131,-122.6379009
Lucchessi's Deli,301 S. McDowell Blvd.,Petaluma,California,"301 S. McDowell Blvd., Petaluma, California",38.2485393,-122.6237528
Lucky - Gravenstein Hwy.,776 Gravenstein Hwy No.,Sebastopol,California,"776 Gravenstein Hwy No., Sebastopol, California",38.4072611,-122.8400927
Lucky - Lakeville Hwy.,939 Lakeville Hwy.,Petaluma,California,"939 Lakeville Hwy., Petaluma, California",38.2363505,-122.6240742
Lucky - Montgomery Village,915 Montgomery Village Ct.,Santa Rosa,California,"915 Montgomery Village Ct., Santa Rosa, California",38.4435257,-122.6860548
Lucky - Petaluma Blvd.,1000 Petaluma Blvd No.,Petaluma,California,"1000 Petaluma Blvd No., Petaluma, California",38.2453932,-122.6432244
Lucky - Sonoma Hwy.,19181 Sonoma Hwy.,Sonoma,California,"19181 Sonoma Hwy., Sonoma, California",38.3002824,-122.4768792
Molsberry Market,522 Larkfield Center,Santa Rosa,California,"522 Larkfield Center, Santa Rosa, California",38.5014548,-122.7508615
My Deli Market,1035 2nd Street,Santa Rosa,California,"1035 2nd Street, Santa Rosa, California",38.4426898,-122.7054089
Oakmont Village Mkt-Santa Rosa,6550 Oakmont Dr.,Santa Rosa,California,"6550 Oakmont Dr., Santa Rosa, California",38.4418601,-122.6056209
Oakville Grocery - Healdsburg,124 Matheson St,Healdsburg,California,"124 Matheson St, Healdsburg, California",38.6104537,-122.8689632
Oliver's - Cotati #1,546 East Cotati Ave.,Cotati,California,"546 East Cotati Ave., Cotati, California",38.3280134,-122.6981063
Oliver's - Montecito Blvd #2,560 Montecito Blvd.,Santa Rosa,California,"560 Montecito Blvd., Santa Rosa, California",38.4767589,-122.6690176
Oliver's Market-Cotati,546 E Cotati Ave,Cotati,California,"546 E Cotati Ave, Cotati, California",38.3280134,-122.6981063
Oliver's Market-Montecito Blvd,560 Montecito Center,Santa Rosa,California,"560 Montecito Center, Santa Rosa, California",38.4747366,-122.6735694
Oliver's- Windsor,9230 Old Redwood Hwy,Windsor,California,"9230 Old Redwood Hwy, Windsor, California",38.5490858,-122.8111824
Oliver's-Guy's Grocery Games,1145 Kittyhawk Blvd.,Santa Rosa,California,"1145 Kittyhawk Blvd., Santa Rosa, California",38.52149767,-122.7955296
Oliver's-Stony Point #3,461 Stony Point Rd.,Santa Rosa,California,"461 Stony Point Rd., Santa Rosa, California",38.4325504,-122.7439869
Oliver's-Stony Point Rd.,462 Stony Point Rd.,Santa Rosa,California,"462 Stony Point Rd., Santa Rosa, California",38.4325504,-122.7439869
Oliver's-Windsor #4,9230 Old Redwood Hwy,Windsor,California,"9230 Old Redwood Hwy, Windsor, California",38.5490858,-122.8111824
Pacific Market / Fiesta,550 Gravenstein Hwy N.,Sebastopol,California,"550 Gravenstein Hwy N., Sebastopol, California",38.4056633,-122.8381538
Pacific Market-Santa Rosa,1465 Town & Country Dr.,Santa Rosa,California,"1465 Town & Country Dr., Santa Rosa, California",38.4539397,-122.7022742
Petaluma Market,210 Western Ave.,Petaluma,California,"210 Western Ave., Petaluma, California",38.2339242,-122.6430264
Poppy Bank,438 - 1st Street,Santa Rosa,California,"438 - 1st Street, Santa Rosa, California",38.4374117,-122.7143525
Raley's - Petaluma,157 N. McDowell Blvd.,Petaluma,California,"157 N. McDowell Blvd., Petaluma, California",38.248197,-122.6285466
Raley's-Rohnert Park,100 Raley's Town Center,Rohnert Park,California,"100 Raley's Town Center, Rohnert Park, California",38.34669,-122.7054595
Raley's-Santa Rosa,1407 Fulton Rd.,Santa Rosa,California,"1407 Fulton Rd., Santa Rosa, California",38.4539553,-122.7712408
Raley's-Windsor,8852 Lakewood Dr.,Windsor,California,"8852 Lakewood Dr., Windsor, California",38.549344,-122.8064028
Ralph's-Sonoma,201 W. Napa St,Sonoma,California,"201 W. Napa St, Sonoma, California",38.2920295,-122.4616293
Ramazzotti,21015 Geyserville Ave,Geyserville,California,"21015 Geyserville Ave, Geyserville, California",38.7062174,-122.9040443
Rancho Mendoza - Piner Rd,1201 Piner Rd.,Santa Rosa,California,"1201 Piner Rd., Santa Rosa, California",38.4724439,-122.7394997
Rancho Mendoza - Sebastopol Rd,640 Sebastopol Rd.,Santa Rosa,California,"640 Sebastopol Rd., Santa Rosa, California",38.4296417,-122.727534
Rialto Cinemas Cerrito,10070 San Pablo Ave,El Cerrito,California,"10070 San Pablo Ave, El Cerrito, California",37.9019439,-122.3027348
Rialto Cinemas Sebastopol,6868 McKinley St,Sebastopol,California,"6868 McKinley St, Sebastopol, California",38.4039137,-122.8226417
Safeway #1265-Yulupa Ave.,2785 Yulupa Ave.,Santa Rosa,California,"2785 Yulupa Ave., Santa Rosa, California",38.4257973,-122.6685363
Safeway #1562-4th St.S.Rosa,2751 Fourth Street,Santa Rosa,California,"2751 Fourth Street, Santa Rosa, California",38.4510151,-122.6911824
Safeway #1950-Guerneville,16405 River Road,Guerneville,California,"16405 River Road, Guerneville, California",38.50198,-123.0004237
Safeway #2456-Son Mtn Pkwy,701 Sonoma Mountain Pkwy,Petaluma,California,"701 Sonoma Mountain Pkwy, Petaluma, California",38.2690659,-122.6386287
Safeway #2457-W. College Ave,1211 W. College Ave.,Santa Rosa,California,"1211 W. College Ave., Santa Rosa, California",38.446762,-122.7416052
Safeway #713-Calistoga Rd.,100 Calistoga Rd.,Santa Rosa,California,"100 Calistoga Rd., Santa Rosa, California",38.4656768,-122.6516753
"Safeway #7956-Marlow, S.Rosa",1799 Marlow Road,Santa Rosa,California,"1799 Marlow Road, Santa Rosa, California",38.4520542,-122.752896
Safeway #911-Sonoma,477 W. Napa St.,Sonoma,California,"477 W. Napa St., Sonoma, California",38.291594,-122.4677124
Safeway #918-Rohnert Park,6340 Commerce Blvd.,Rohnert Park,California,"6340 Commerce Blvd., Rohnert Park, California",38.3475652,-122.7084312
Safeway #933-Sebastopol,406 N Main St.,Sebastopol,California,"406 N Main St., Sebastopol, California",38.4044524,-122.8270548
Safeway#3011-S. McDowell,389 So. McDowell Blvd.,Petaluma,California,"389 So. McDowell Blvd., Petaluma, California",38.2491273,-122.6219167
Sequoia Market,1382 Gravenstein Hwy. South,Sebastopol,California,"1382 Gravenstein Hwy. South, Sebastopol, California",38.3845623,-122.8129014
Seven Eleven -Perry Lane,860 Perry Lane,Petaluma,California,"860 Perry Lane, Petaluma, California",38.2340894,-122.6141666
Shelton's,428 Center Street,Healdsburg,California,"428 Center Street, Healdsburg, California",38.6134735,-122.8694657
Smart & Final - Petaluma,429 N. McDowell Blvd.,Petaluma,California,"429 N. McDowell Blvd., Petaluma, California",38.252704,-122.6360465
Smart & Final #409- Santa Rosa,2805 Santa Rosa Avenue,Santa Rosa,California,"2805 Santa Rosa Avenue, Santa Rosa, California",38.4085689,-122.7138001
Sonoma Cheese Factory,2 Spain St.,Sonoma,California,"2 Spain St., Sonoma, California",38.2939694,-122.4574728
Sonoma Market,500 W Napa St,Sonoma,California,"500 W Napa St, Sonoma, California",38.2941288,-122.4685911
Sonoma Market/Nugget #17,501 W Napa St,Sonoma,California,"501 W Napa St, Sonoma, California",38.2925925,-122.4682404
Sonoma's Best,1190 East Napa Street,Sonoma,California,"1190 East Napa Street, Sonoma, California",38.2899664,-122.4358549
South City Market,301 Mountain View Ave,Petaluma,California,"301 Mountain View Ave, Petaluma, California",38.2280487,-122.6262221
Speer's Market,7891 Mirabel Road,Forestville,California,"7891 Mirabel Road, Forestville, California",38.4900218,-122.894477
SRJC Bookstore,220 Elliott Ave.,Santa Rosa,California,"220 Elliott Ave., Santa Rosa, California",38.4570447,-122.7190525
SRJC Bookstore,Petaluma Campus,Petaluma,California,"Petaluma Campus, Petaluma, California",38.2693557,-122.6349487
Target - Coddingtown,900 Coddingtown Center,Santa Rosa,California,"900 Coddingtown Center, Santa Rosa, California",38.4563591,-122.7281969
Target-Petaluma,401 Kenilworth Dr.,Petaluma,California,"401 Kenilworth Dr., Petaluma, California",38.2427934,-122.6239879
Target-Rohnert Park,475 Rohnert Pk Express Way,Rohnert Park,California,"475 Rohnert Pk Express Way, Rohnert Park, California",38.3461728,-122.7204316
Target-Santa Rosa,1980 Santa Rosa Ave.,Santa Rosa,California,"1980 Santa Rosa Ave., Santa Rosa, California",38.417287,-122.7087842
The Farmhand,15025 River Road,Guerneville,California,"15025 River Road, Guerneville, California",38.514374,-122.9831841
Walia's Fuel,910 Baywood,Petaluma,California,"910 Baywood, Petaluma, California",38.2342792,-122.6143874
Walmart- RP Neighborhood Mkt,901 Golf Course Dr,Rohnert Park,California,"901 Golf Course Dr, Rohnert Park, California",38.3615516,-122.6924655
Walmart-Rohnert Park,4625 Redwood Dr,Rohnert Park,California,"4625 Redwood Dr, Rohnert Park, California",38.367463,-122.7164204
CVS #1173 - Healdsburg,455 Center St,Healdsburg,California,"455 Center St, Healdsburg, California",38.6140218,-122.8709133
CVS #9393 - Mendocino Ave.,2075 Mendocino Ave.,Santa Rosa,California,"2075 Mendocino Ave., Santa Rosa, California",38.4601224,-122.7186669
CVS #9931 - Windsor,9030 Brooks Rd. S,Windsor,California,"9030 Brooks Rd. S, Windsor, California",38.5507046,-122.805389
Longs Drug-Healdsburg,455 Center St,Healdsburg,California,"455 Center St, Healdsburg, California",38.6140218,-122.8709133
Lucky - Bicentennial,150 Bicentennial,Santa Rosa,California,"150 Bicentennial, Santa Rosa, California",38.470385,-122.7197257
Lucky - Bicentennial,150 Bicentennial,Santa Rosa,California,"150 Bicentennial, Santa Rosa, California",38.470385,-122.7197257
Raley's-Windsor,8852 Lakewood Dr.,Windsor,California,"8852 Lakewood Dr., Windsor, California",38.549344,-122.8064028
Safeway #1434-Windsor,9080 Brooks Rd.,Windsor,California,"9080 Brooks Rd., Windsor, California",38.5516553,-122.8065101
Safeway #1576-Mendocino  Ave.,2300 Mendocino Ave.,Santa Rosa,California,"2300 Mendocino Ave., Santa Rosa, California",38.4628265,-122.7170787
Safeway #998-Healdsburg,1115 Vine St.,Healdsburg,California,"1115 Vine St., Healdsburg, California",38.6083983,-122.8729813
Walmart- Windsor,6650 Hembree Ln,Windsor,California,"6650 Hembree Ln, Windsor, California",38.5286567,-122.7899351
Central Park Liquor/Deli Plus,1900 Hayes St,San Francisco,California,"1900 Hayes St, San Francisco, California",37.77384666,-122.4478834
Famous Deli  Novato,341 Enfrente Rd,Novato,California,"341 Enfrente Rd, Novato, California",38.06755605,-122.5389702
Vintage 76 Station,1108 Main St,St Helena,California,"1108 Main St, St Helena, California",38.50355121,-122.467194
