ID,Store,Address,City,State
1723,Safeway #1723-San Anselmo,838 Sir Francis Drake Blvd.,San Anselmo,California
2318,Safeway #2318-Corte Madera,137 Corte Madera Town Center,Corte Madera,California
2455,"Safeway #2455-Center Blvd, SA",100 Center Blvd.,San Anselmo,California
2718,Safeway #2718-Strawberry,110 Strawberry Village,Mill Valley,California
2718,Safeway #2781-Mill Valley,110 Strawberry Village,Mill Valley,California
2828,Safeway #2828-Ignacio,5720 Nave Dr.,Novato,California
653,"Safeway #653-B St., San Rafael",700 B St.,San Rafael,California
788,Safeway #788-Mill Valley,1 Camino Alto,Mill Valley,California
932,Safeway #932 San Rafael,950 Las Gallinas,San Rafael,California
979,Safeway #979 Novato,900 Diablo Ave.,Novato,California
979,"Safeway #979-Diablo Ave,Nov.",900 Diablo Ave.,Novato,California
265,Santa Venetia Super,71 San Pablo Ave,San Rafael,California
227,Sausalito Market,46 Caledonia,Sausalito,California
108,Scotty's Market,620 Freitas Parkway,San Rafael,California
4154,Seven Eleven -Shoreline,371 Shoreline Hwy.,Mill Valley,California
4157,"Seven Eleven-Miller Ave,M.V.",349 Miller Ave.,Mill Valley,California
4136,"Seven Eleven-Redwood Hwy,M.V.",650 Redwood Hwy.,Mill Valley,California
4130,Seven Eleven-Sausalito,1901 Bridgeway Blvd.,Sausalito,California
526,Smart & Final - San Rafael,925 Anderson Drive,San Rafael,California
6235,Smith Ranch Deli,101 Smith Ranch Rd.,San Rafael,California
29,Stinson Beach Market,"Hwy. 1, Calle Del Mar",Stinson Beach,California
3240,Target-Marin City,180 Donahue St.,Sausalito,California
692,Target-Novato,200 Vintage Way,Novato,California
2772,Target-San Rafael,125 Shoreline Pkwy,San Rafael,California
6102,The Bait Shop Market & Deli,#1 Gate 6 Rd,Sausalito,California
351,"Tomales Bay Foods, Inc.",80 4th Street,Point Reyes Station,California
551,Uchiwa Ramen Restaurant,821 B Street,San Rafael,California
156,United Liq/Gather Wine-Lrkspr,1110 Magnolia Ave.,Larkspur,California
152,United Liquors-San Rafael,1556-4th St.,San Rafael,California
147,United Market - San Anselmo,100 Red Hill Ave,San Anselmo,California
148,United Market - San Rafael,515 3rd St.,San Rafael,California
447,United SA -Deli/Bakery/Produce,100 Red Hill Ave,San Anselmo,California
448,United SR -Deli/Bakery/Produce,515 3rd St.,San Rafael,California
28,Whale of a Deli,997 Mesa Road,Point Reyes Station,California
6219,Woodacre Market & Deli,175 San Geronimo Valley Dr,Woodacre,California
173,Woodland Gas,1 Kent Avenue,Kentfield,California
332,Woodlands - Drop Ship,735 College Ave,Kentfield,California
366,Woodlands #2 - Tiburon,1550 Tiburon Blvd,Tiburon,California
379,Woodlands #2/Tib. - Drop Ship,1551 Tiburon Blvd,Tiburon,California
191,Woodlands Market,735 College Ave,Kentfield,California
353,Woodlands Meat #2 Tiburon,1550 Tiburon Blvd,Belvedere Tiburon,California
322,Woodlands Meat Dpt.,735 College Ave.,Greenbrae,California
368,Zee's Deli Wine & Spirits,913 Sir Francis Drake Blvd.,Kentfield,California
