sold_to_name,product_line,quantity,gross_profit,territory,date
SRJC Bookstore,DCD,144.0,72.27,SN,2017-01-01
Vintage 76 Station,DCD,77.0,35.63,NP,2017-01-01
SRJC Bookstore,PF,90.0,40.26,SN,2017-01-01
Draeger's-Menlo Park,DCD,562.0,731.99,PN,2017-01-01
Bianchini's Mkt - Alpine Rd.,DCD,74.0,53.37,PN,2017-01-01
Bianchini's Mkt - Alpine Rd.,DCD,56.0,36.4,PN,2017-01-01
Bianchini's Mkt - Alpine Rd.,DCD,844.0,946.01,PN,2017-01-01
Bianchini's Mkt - San Carlos,DCD,138.0,73.28,PN,2017-01-01
Bianchini's Mkt - San Carlos,DCD,9.0,16.29,PN,2017-01-01
Bianchini's Mkt - San Carlos,DCD,24.0,15.6,PN,2017-01-01
Bianchini's Mkt - San Carlos,DCD,1172.0,1135.87,PN,2017-01-01
Napa Sea Ranch,DCD,60.0,24.0,NP,2017-01-01
Brown's Valley Meat Dept.,DCD,18.0,28.8,NP,2017-01-01
Beringer Vineyards,DCD,144.0,27.36,NP,2017-01-01
Rancho Mendoza - Piner Rd,PF,184.0,58.38,SN,2017-01-01
Napa Valley Marina,DCD,101.0,42.6,NP,2017-01-01
Bodega Ave. Mkt.,PF,61.0,38.24,SN,2017-01-01
Brown's Valley Mkt.,DCD,485.0,641.71,NP,2017-01-01
Woodlands #2 - Tiburon,DCD,198.0,226.38,MR,2017-01-01
Lira's Supermarket,DCD,1000.0,349.61,NP,2017-01-01
Lira's Supermarket,DCD,612.0,192.95,NP,2017-01-01
Uchiwa Ramen Restaurant,DCD,36.0,19.8,MR,2017-01-01
Safeway #979 Novato,DCD,84.0,53.96,MR,2017-01-01
Famous Deli  San Rafael,PF,153.0,96.07,MR,2017-01-01
Woodlands Meat #2 Tiburon,DCD,18.0,24.48,MR,2017-01-01
Mollie Stone #4-Greenbrae,PF,0.0,271.48600000000005,MR,2017-01-01
Rocky's Meat & Deli,DCD,16.0,26.92,MR,2017-01-01
Driver's Mkt - Sausalito,DCD,48.0,45.36,MR,2017-01-01
Mollie Stone #1-Sausalito,PF,4.0,201.736,MR,2017-01-01
"Seven Eleven-Miller Ave,M.V.",PF,66.0,44.14,MR,2017-01-01
Smart & Final - San Rafael,PF,2.0,385.00600000000003,MR,2017-01-01
Woodlands Meat Dpt.,DCD,10.0,13.0,MR,2017-01-01
"Safeway #653-B St., San Rafael",PF,6.0,408.25800000000004,MR,2017-01-01
Zee's Deli Wine & Spirits,PF,26.0,16.55,MR,2017-01-01
Zee's Deli Wine & Spirits,DCD,56.0,43.28,MR,2017-01-01
Circle K - 76 Stn (Ignacio),PF,59.0,37.58,MR,2017-01-01
Driver's Mkt - Sausalito,DCD,18.0,30.19,MR,2017-01-01
Safeway #1723-San Anselmo,DCD,3.0,5.94,MR,2017-01-01
Safeway #932 San Rafael,DCD,2.0,3.96,MR,2017-01-01
Cal Mart-Calistoga,DCD,216.0,82.76,NP,2017-01-01
Scotty's Market,PF,5.0,163.828,MR,2017-01-01
Cal Mart-Calistoga,DCD,18.0,30.19,NP,2017-01-01
Harvest Mkt/Novato Foods,PF,5.0,284.184,MR,2017-01-01
Cal Mart-Calistoga,DCD,779.0,703.25,NP,2017-01-01
Vallerga's #2 (Redwood),DCD,132.0,28.06,NP,2017-01-01
Vallerga's #2 (Redwood),DCD,8.0,5.2,NP,2017-01-01
Vallerga's #2 (Redwood),DCD,1823.0,1119.2,NP,2017-01-01
Sunshine Mkt. - St. Helena,DCD,60.0,46.49,NP,2017-01-01
Mill Valley Market,PF,4.0,162.79200000000003,MR,2017-01-01
Sunshine Mkt. - St. Helena,DCD,24.0,15.6,NP,2017-01-01
Sunshine Mkt. - St. Helena,DCD,2427.0,1677.04,NP,2017-01-01
United Market - San Rafael,PF,7.0,514.38,MR,2017-01-01
United Market - San Anselmo,PF,8.0,560.098,MR,2017-01-01
Andronico's #7-San Anselmo,DCD,60.0,37.0,MR,2017-01-01
Lira's Supermarket,DCD,6.0,8.4,NP,2017-01-01
Inverness Store,PF,158.0,94.33,MR,2017-01-01
CVS #9913 - Mill Valley,PF,0.0,58.614000000000004,MR,2017-01-01
Inverness Store,DCD,18.0,31.38,MR,2017-01-01
Stinson Beach Market,DCD,40.0,25.6,MR,2017-01-01
Lucky - Lakeville Hwy.,PF,1.0,279.242,SN,2017-01-01
Stinson Beach Market,DCD,1212.0,803.02,MR,2017-01-01
Palace Market,PF,260.0,161.1,MR,2017-01-01
Palace Market,DCD,12.0,13.0,MR,2017-01-01
Palace Market,DCD,132.0,86.46,MR,2017-01-01
Safeway #713-Calistoga Rd.,PF,2.0,1225.588,SN,2017-01-01
Lucky - Petaluma Blvd.,PF,1.0,230.25,SN,2017-01-01
Lucky - Montgomery Village,PF,0.0,373.65200000000004,SN,2017-01-01
Palace Market,DCD,120.0,174.78,MR,2017-01-01
Palace Market,DCD,2496.0,1579.1,MR,2017-01-01
Lucky - Gravenstein Hwy.,PF,0.0,107.28,SN,2017-01-01
United Market - San Rafael,DCD,45.0,42.16,MR,2017-01-01
Lucky - Sonoma Hwy.,PF,4.0,413.904,SN,2017-01-01
Palace Market,DCD,18.0,30.19,MR,2017-01-01
Stinson Beach Market,DCD,18.0,31.38,MR,2017-01-01
Stinson Beach Market,DCD,34.0,25.69,MR,2017-01-01
Stinson Beach Market,DCD,5.0,5.42,MR,2017-01-01
Fairfax Market,DCD,12.0,13.0,MR,2017-01-01
Fairfax Market,DCD,260.0,182.47,MR,2017-01-01
Food Maxx-Santa Rosa,PF,11.0,1124.816,SN,2017-01-01
Fairfax Market,DCD,9.0,16.29,MR,2017-01-01
Fairfax Market,DCD,8.0,5.2,MR,2017-01-01
Fairfax Market,DCD,451.0,389.45,MR,2017-01-01
Oliver's-Stony Point Rd.,PF,6.0,359.124,SN,2017-01-01
Woodlands Market,PF,527.0,345.19,MR,2017-01-01
Woodlands Market,DCD,124.0,80.32,MR,2017-01-01
Woodlands Market,DCD,27.0,46.48,MR,2017-01-01
Woodlands Market,DCD,40.0,26.0,MR,2017-01-01
Smart & Final #409- Santa Rosa,PF,3.0,316.69800000000004,SN,2017-01-01
Woodlands Market,DCD,1271.0,909.07,MR,2017-01-01
Stinson Beach Market,PF,159.0,101.52,MR,2017-01-01
Oliver's-Windsor,PF,2.0,220.32800000000003,SN,2017-01-01
United Market - San Rafael,DCD,748.0,352.39,MR,2017-01-01
Fairfax Market,PF,443.0,287.39,MR,2017-01-01
United Market - San Rafael,DCD,45.0,79.06,MR,2017-01-01
Target-Rohnert Park,PF,8.0,1111.468,SN,2017-01-01
Jenner Store,DCD,2.0,52.02,MN,2017-01-01
Oliver's Market-Cotati,PF,8.0,457.93800000000005,SN,2017-01-01
Diekmans Bay Store - Bodega,PF,120.0,72.16,MN,2017-01-01
Diekmans Bay Store - Bodega,DCD,42.0,37.39,MN,2017-01-01
Diekmans Bay Store - Bodega,DCD,9.0,15.09,MN,2017-01-01
Glen Ellen Village/Nugget #18,PF,3.0,90.666,SN,2017-01-01
Jenner Store,DCD,16.0,10.4,MN,2017-01-01
Diekmans Bay Store - Bodega,DCD,8.0,5.2,MN,2017-01-01
Safeway #1562-4th St.S.Rosa,PF,5.0,883.4940000000001,SN,2017-01-01
The Tides Bait & Tackle,PF,98.0,59.13,MN,2017-01-01
The Tides Bait & Tackle,DCD,12.0,14.52,MN,2017-01-01
The Tides Bait & Tackle,DCD,9.0,15.09,MN,2017-01-01
The Tides Bait & Tackle,DCD,8.0,5.2,MN,2017-01-01
Walmart-Rohnert Park,PF,15.0,526.12,SN,2017-01-01
Diekmans Bay Store - Bodega,DCD,208.0,109.64,MN,2017-01-01
Safeway #1265-Yulupa Ave.,PF,9.0,775.944,SN,2017-01-01
Jenner Store,DCD,48.0,30.03,MN,2017-01-01
Jenner Store,PF,102.0,62.39,MN,2017-01-01
United Market - San Rafael,DCD,438.0,409.62,MR,2017-01-01
United Market - San Rafael,DCD,6978.0,5843.2,MR,2017-01-01
Safeway #911-Sonoma,PF,4.0,902.008,SN,2017-01-01
United Market - San Anselmo,DCD,73.0,76.48,MR,2017-01-01
United Market - San Anselmo,DCD,735.0,352.7,MR,2017-01-01
Safeway #918-Rohnert Park,PF,8.0,794.4060000000001,SN,2017-01-01
United Market - San Anselmo,DCD,90.0,113.11,MR,2017-01-01
United Market - San Anselmo,DCD,67.0,42.09,MR,2017-01-01
Safeway #933-Sebastopol,PF,3.0,883.172,SN,2017-01-01
United Market - San Anselmo,DCD,715.0,802.53,MR,2017-01-01
United Market - San Anselmo,DCD,8944.0,7567.4,MR,2017-01-01
Fishetarian Fish Market,DCD,49.0,44.78,MN,2017-01-01
Target-Santa Rosa,PF,6.0,1660.3680000000002,SN,2017-01-01
Fisherman's Cove,DCD,16.0,10.4,MN,2017-01-01
Fisherman's Cove,DCD,153.0,70.12,MN,2017-01-01
United Market - San Rafael,DCD,30.0,30.09,MR,2017-01-01
Draeger's-Menlo Park,DCD,32.0,20.8,PN,2017-01-01
Food Maxx-Rohnert Park,PF,6.0,580.304,SN,2017-01-01
Andy's Local Mkt - San Rafael,DCD,8.0,5.2,MR,2017-01-01
"Safeway #2452 -Irving St, SF",PF,0.0,192.472,SF,2017-01-01
Andy's Sun Valley - San Rafael,PF,146.0,77.87,MR,2017-01-01
Andy's Sun Valley - San Rafael,DCD,12.0,7.43,MR,2017-01-01
Andy's Sun Valley - San Rafael,DCD,8.0,5.2,MR,2017-01-01
"Safeway#2646-7th Ave., S.F.",PF,7.0,810.6100000000001,SF,2017-01-01
Walgreen's-Point Lobos,PF,1.0,136.566,SF,2017-01-01
"Safeway #1507-Market St., S.F.",PF,3.0,1422.1040000000003,SF,2017-01-01
Andy's Sun Valley - San Rafael,DCD,550.0,275.21,MR,2017-01-01
Santa Venetia Super,PF,212.0,126.29,MR,2017-01-01
CVS #4675 - SF,PF,3.0,66.58800000000001,SF,2017-01-01
Santa Venetia Super,DCD,18.0,12.33,MR,2017-01-01
CVS #10188-Haight St.,PF,2.0,98.22800000000001,SF,2017-01-01
Santa Venetia Super,DCD,12.0,6.84,MR,2017-01-01
Walgreen's-Geary St.,PF,4.0,188.81600000000003,SF,2017-01-01
Walgreens  Gough,PF,1.0,90.89800000000001,SF,2017-01-01
Marinwood Market,DCD,226.0,247.97,MR,2017-01-01
Walgreen's-Clement St.,PF,2.0,97.77600000000001,SF,2017-01-01
Andronico's #3-San Francisco,PF,1.0,104.112,SF,2017-01-01
CVS #9947 - Novato Blvd.,PF,2.0,82.42000000000002,MR,2017-01-01
Inverness Store,DCD,402.0,237.82,MR,2017-01-01
Golden Gate Market,PF,96.0,62.62,MR,2017-01-01
Golden Gate Market,DCD,36.0,22.44,MR,2017-01-01
CVS #9962 - Marin City,PF,0.0,73.878,MR,2017-01-01
Golden Gate Market,DCD,8.0,5.2,MR,2017-01-01
"Safeway #732 Jefferson Sq,Napa",PF,1.0,70.776,NP,2017-01-01
Golden Gate Market,DCD,267.0,236.86,MR,2017-01-01
Veteran's Canteen #662,PF,3.0,176.73800000000003,SF,2017-01-01
